Author,Number of Publications
Pocajt, V. V.,9
Antanasijević, D. Z.,9
Perić-Grujić, A. A.,8
Liu, Y.,7
Wang, Y.,5
Zhang, Y.,5
Tambouratzis, T.,5
Li, Y.,5
Ristić, M. Đ.,5
Stamenković, L. J.,4
Wang, X.,4
Hassan, M. F.,4
Wang, S.,4
Yan, J.,4
Sharif, S.,4
Deo, Ravinesh C.,3
Wei, H.,3
Miyamoto, A.,3
Wang, Z.,3
Zhang, J.,3
Sun, C.,3
Shi, Y.,3
Deo, R. C.,3
Wu, J.,3
Safavi, H. R.,3
Li, Q.,3
Zhao, Y.,3
Alex,3
Saman, M. Z. M.,3
Kisi, O.,3
Lu, X.,3
Li, W. D.,3
Glushchenko, A. I.,3
Ristić, M. T.,2
Ristić, M.,2
Mossa, G.,2
Mummolo, G.,2
Vinodh, S.,2
Wang, L.,2
Mugica, F.,2
Callou, G.,2
Wang, H.,2
Jamalipour, A.,2
Buscema, M.,2
Ferreira, J.,2
Rankothge, W. H.,2
Weerakkody, W. A. N. D.,2
Jiao, L.,2
Aydin, Hakan,2
Karimi, M.,2
Masinde, M.,2
Yaseen, Z. M.,2
Baklacioglu, Tolga,2
Yang, Z.,2
Yang, X.,2
Yang, Q.,2
Mazzei, L.,2
Yang, L.,2
Ristić, M. D.,2
Barata, Jose,2
Yan, X.,2
Xu, B.,2
Xie, X.,2
Jurado, S.,2
Josua, A.,2
Muthusinghe, M. R. S.,2
Wijeyesekera, D. C.,2
Castañeda-Mir,2
Hua, D.,2
Udmale, S. S.,2
Peng, J.,2
Facchini, F.,2
Petrusheva, S.,2
González, M.,2
Shen, L.,2
Sharma, A.,2
Pino, R.,2
Diappi, L.,2
Dini, P.,2
Pocajt, V.,2
Ruschel, A. R.,2
Russo, Tommaso,2
Golmohammadi, M. H.,2
Doganer, S.,2
Ponte, B.,2
Dominguez, D.,2
Satapathy, S.,2
Dupont, W.,2
Rahim, N. A.,2
Sahoo, K.,2
Shuai, C.,2
De Farias, C. A. S.,2
Cataudella, Stefano,2
Singh, S. K.,2
Celeste, A. B.,2
Turan, Onder,2
Tsai, Sang-Bing,2
Hosseinzadeh-B,2
Hervás-Martínez, C.,2
Tan, Y.,2
Avellana, N.,2
Chen, X.,2
Chen, Y.,2
Reis, L. P.,2
Omar, B.,2
Christodoulou, S.,2
Palliyaguru, S. T.,2
Hani, A.,2
Han, S.,2
D,2
Parisi, Antonio,2
Guo, H.,2
Soares, C. P. B.,2
Kato, O. R.,2
Leite, H. G.,2
Zhang, X.,2
Maciel, P.,2
Zhang, H.,2
Lu, Y.,2
Antanasijević, D.,2
Mani, S.,2
Ko, Y.,2
Manic, M.,2
Lu, C.,2
Li, K.,2
Lallahem, S.,2
da Silva, L. F.,2
Lin, Y.,2
Li, X.,2
Liu, J.,2
dos Reis, P. C. M.,2
Zhang, S.,2
Li, Z.,2
Zhou, Z.-Z.,2
Liu, X.,2
Kumar, A.,2
de Souza, A. L.,2
Adamović, V. M.,2
Zhang, F.,2
Guerrero, C.,1
Guimaraes Santos, Celso Augusto,1
Gristina, Michele,1
Grosvenor, R.,1
Groza A.; Prasath R.,1
Grüning, A.,1
Labadie, J. W.,1
Grundmann, J.,1
Guedria; W.,1
Guardiola, J.,1
LaMore, Rex,1
Griffin, Terry,1
Grzybowska, K.,1
Lai, X.,1
Lachance, C. C.,1
Grezmak, J.,1
Gong, M.,1
Gong, Y.-D.,1
Gonzalez Diaz, B.,1
Lascari, G.,1
Langari, R.,1
Gonzalo-Vazquez, G.,1
Lam, Nina S. N.,1
Lam, N. S.-N.,1
Lam, J. S. L.,1
González-Mejía, A. M.,1
Gopalakrishnan, P.,1
Gorji, M.,1
Goudarzi, Maziar,1
Govone, Jose S.,1
Gunasekaran, A.,1
Gracia, J.,1
Graham, I. D.,1
Laciana, Carlos,1
Gravelsins, A.,1
Gunaratnam, D. J.,1
Kim, J.,1
Gungor, K.,1
Harudin, N.,1
Hashim, M.,1
Hashmi, H. N.,1
Hassan, M.,1
Kuo, Ping-Huan,1
Hatti, M.,1
Hatwágner, M. F.,1
Hatziefthimiou, N.,1
Hatzig, S. V.,1
Hawkins, G. L.,1
He, J.-F.,1
He, S.,1
Kumar, S.,1
He, Y.-Q.,1
He, Zhibin,1
Heck, V.,1
Kumar, R.,1
Hedayatnia, B.,1
Heddam, Salim,1
Heisel, U.,1
Helfert; M.,1
Hemalatha, M.,1
Hasan, H. A.,1
Harris, E. L.,1
La Gennusa, M.,1
Hansen, James,1
Kóczy, L. T.,1
Guo, J.,1
Gupta, S. M.,1
Gurau, Andrei Marian,1
Guzman, A.,1
Gómez-González, J. F.,1
Haanpaa, D.,1
Kyratsis, P.,1
Habeeb, H. N.,1
Habermann, Gustavo,1
Habib, V.,1
Hadihardaja, I. K.,1
Haghighat, Fariborz,1
Halkijevic, I.,1
Hamdi, M.,1
Han, D.,1
Han, M.,1
Kwon, H.-B.,1
Han, Z.,1
Kwak, J.,1
Kuonen, P.,1
Gupta, S.,1
Laurinec, P.,1
Gomez-Sanz, J.,1
Lee, J.,1
Lee, Y. T.,1
Froeschke, B. F.,1
Lee, V.-H.,1
Lee, Siew Eang,1
Froeschke, J. T.,1
Frolova, E. E.,1
Fu, Zhumu,1
Fulwani; D. K.,1
Funk, M.,1
Lee, S.-G.,1
Földesi, P.,1
Fúr, A.,1
Galelli, Stefano,1
Gallardo, Marta,1
Gallardo, R. S.,1
Gallo, C.,1
Lee, Kichun,1
Gallo, Mariacristina,1
Lee, Jong Yun,1
Galupino, J. G.,1
Gambin, A. F.,1
Frey, Ulrich J.,1
Franco, R. I.,1
Fraile-Garcia, E.,1
Ferreira, Joao Dias,1
Lehký, D.,1
Legare, F.,1
Fernández-Alemán, J. L.,1
Fernández-Izquierdo, M. Á.,1
Ferreira, Adriano,1
Ferreira, Andre R.,1
Ferreira, E. C.,1
Ferreira, E. J.,1
Lee; R.,1
Ferreiro-Cabello, J.,1
Foufou, S.,1
Lee, Yuan-Shin,1
Ferrell, Shannon,1
Ferrero, A.,1
Ferrero-Ferrero, I.,1
Fima, T. T.,1
Fiorentino, Fabio,1
Fisher, Oliver,1
Fong, A.,1
Foo, P.-Y.,1
Gao, Aiyun,1
Gao, Huiying,1
Gomes, Rachel L.,1
Gao, L.,1
Ghosh, S.,1
Ghrici, M.,1
Ghumman, A. R.,1
Gil, D.,1
Giordamlis, C.,1
Girnita, I.,1
Giubilato, E.,1
Glasziou, P. P.,1
Glicksman, L.,1
Gmach, D.,1
Lee, C. K. M.,1
Goedbloed, Albert,1
Lechevalier, D.,1
Goethals, Peter,1
Goffin, P.,1
Golafshani, Emadaldin Mohammadi,1
Le Cloirec, P.,1
Laurinec, Peter,1
Hemmelgarn, B. R.,1
Goltsev, V.,1
Gomes, C. P.,1
Ghosh, P.,1
Ghose, D. K.,1
Lee, C.-H.,1
García-Mateos, G.,1
Gao, R. X.,1
Gao, S.,1
Lee, H.,1
Gao, X.-C.,1
Gao, Y.,1
Garcia Roman, Carla,1
Garcia-Alonso, Carlos R.,1
García, J.,1
García-Alonso, C. R.,1
Gardas, B. B.,1
Ghaffari, M.,1
Garg, A.,1
Garofalo, Germana,1
Gates, T. K.,1
Lee, C.-Y.,1
Gavrilova; M. L.,1
Ge, Y.,1
Genaidy, A. M.,1
Gervasi; O.,1
Geyer, P.,1
Kumar, D. S.,1
Herricks, E. E.,1
Hendrawan, Y.,1
Jahankhani, Hamid,1
Jin, Ruoyu,1
Jin, Y.,1
Jin, Z.,1
Jithish, J.,1
Koley, E.,1
Joppa, L. N.,1
Koklukaya, E.,1
Jove, E.,1
Juan, Y.-K.,1
Junne, S.,1
K,1
Kabiri-Samani, A.,1
Kokkinos, K.,1
Kabisch, J.,1
Kabo-bah, Amos T.,1
Koichi, S.,1
Kadota, A.,1
Kafi, M.,1
Kalaji, H. M.,1
Kale, S. S.,1
Kalimeris, N.,1
Jin, G.,1
Konev, Georgai A.,1
Jiang, Y.,1
Jawahar, N.,1
Jahanpour, Ehsan,1
Jain, A.,1
Koppen; M.,1
Jalalian, A.,1
Kopal, R.,1
Jamli, M. R.,1
Jarabek, Tomas,1
Jarábek, T.,1
Javidi, Hamed,1
Koo, I.,1
Jiang, S.,1
Kongar, E.,1
Jeng, Shin-Ting (Cindy),1
Jenkins, B.,1
Jha, M. K.,1
Ji, C.,1
Ji, M.,1
Kong, Y.,1
Jiang, J.,1
Jiang, L.,1
Kaluđer, G.,1
Kaluđer, J.,1
Kamarudin, K.,1
Kim, Kwanho,1
Karthikeyan, R.,1
Kasmuri, N. H.,1
Kasprzyk, J. R.,1
Kim, S.,1
Kim, Kyoung-jae,1
Katz, Richard,1
Kawamura, A.,1
Kayakutlu, G.,1
Kayikci, Y.,1
Kellouche, Y.,1
Karalekas, D.,1
Kervyn, T.,1
Khachay, M.,1
Khaiter, P. A.,1
Khalili, I.,1
Khan, G. M.,1
Khan, Z.,1
Khanmohammadi, Mohammad Ali,1
Khosravi, V.,1
Khurana; R.,1
Kimes, D. S.,1
Karakayev, Aleks,1
Kamarudin, S. K.,1
Klein; C.,1
Kamis, M. S.,1
Kohl; H.,1
Kamthania, Deepali,1
Kang, C.,1
Kanlayanopakorn, N.,1
Kanokwareerat, N.,1
Kant, S.,1
Ko, Hoo Sang,1
Klepac, G.,1
Kaoukis, N.,1
Karakaya, N.,1
Kapelan, Z.,1
Kirilova, E.,1
Kirienko, D. A.,1
Kapinas, Vasileios M.,1
Kapsar, K.,1
Kimiagari, A. M.,1
Kar,1
Karaci, A.,1
Karagiannidis, George K.,1
Kostsikava, G. D.,1
Jahankhani, H.,1
Hentati, A.,1
Jahanbani, H.,1
Hossain, Md. F.,1
Hosseinian Far, Amin,1
Hosseinpour, S.,1
Hosseinpour, Soleiman,1
Kulkarni, C.,1
Hou, Z.,1
Houet, T.,1
Hovis, C.,1
Hrebicek, Jiri,1
Hsiao, Yin-Cheng,1
Hsu, Y.-H.,1
Hu, A.,1
Hu, B.-Q.,1
Hu, L.,1
Hu, Y.-N.,1
Kucukvar, Murat,1
