Keyword,Frequency
neural networks,226
artificial neural network,154
sustainability,129
forecasting,87
sustainable development,69
optimization,56
artificial intelligence,55
artificial neural networks,52
environmental sustainability,41
neural network,36
genetic algorithms,33
prediction,32
water management,30
machine learning,29
decision making,28
remote sensing,27
numerical model,26
time series analysis,25
genetic algorithm,24
deep learning,24
climate change,23
energy utilization,23
data mining,21
energy efficiency,21
risk assessment,21
modeling,20
regression analysis,20
ann,20
gis,19
anfis,18
computer simulation,18
fuzzy systems,18
fuzzy neural networks,18
fuzzy inference,18
principal component analysis,18
deep neural networks,17
groundwater,17
forecasting method,17
neural networks (computer),17
water supply,16
decision support system,16
environmental management,16
forestry,16
sensitivity analysis,15
environmental impact,15
learning systems,15
big data,14
ecological footprint,14
backpropagation,14
economics,14
land use,14
priority journal,13
support vector machines,13
energy,12
learning algorithms,12
china,12
water quality,12
energy management,12
expert systems,12
network architecture,12
environmental protection,11
artificial neural network models,11
calibration,11
complex networks,11
mathematical models,11
agriculture,10
hydrogeology,10
ecology,10
soils,10
convolutional neural network,10
rain,10
pattern recognition,10
decision support systems,10
environmental monitoring,10
biomass,10
sustainability indicators,10
article,10
forest management,10
decision trees,10
models, theoretical,10
algorithms,10
costs,9
water level,9
water demand,9
data set,9
classification (of information),9
general regression neural network,9
maintenance,9
geographic information systems,9
classification,9
fuzzy mathematics,9
procedures,9
performance assessment,9
economic development,8
response surface methodology,8
artificial neural network (ann),8
extreme learning machine,8
ecosystems,8
hydrogen,8
biodiesel,8
information systems,8
integrated approach,8
logistic regression,8
satellite imagery,8
water conservation,8
humans,8
regression,8
image processing,8
multiobjective optimization,8
automation,8
manufacture,8
fuzzy logic,8
human,8
energy consumption,8
sustainable manufacturing,8
smart grid,8
rivers,8
linear regression,8
planning,8
energy conservation,8
cluster analysis,7
fermentation,7
carbon dioxide,7
groundwater resources,7
biodiversity,7
electric power transmission networks,7
nonhuman,7
environment,7
europe,7
modelling,7
lstm,7
time series,7
crops,7
management,7
commerce,7
cost benefit analysis,7
models,7
regional planning,7
comparative study,6
performance evaluation,6
self organizing maps,6
risk analysis,6
back propagation,6
feature extraction,6
load forecasting,6
controlled study,6
spatial analysis,6
exergy,6
economic analysis,6
hydrology,6
simulation,6
cultivation,6
assessment,6
design,6
smart power grids,6
arima,6
hydrological modeling,6
energy harvesting,6
united states,6
eurasia,6
water pollution,6
principal component regression,6
reservoir operation,6
error analysis,6
stochastic systems,6
convolution,6
aquifers,6
backpropagation algorithms,6
network layers,6
global warming,6
radial basis function networks,6
algorithm,6
multi-linear regression,6
clustering algorithms,6
neural tuner,6
estimation,5
intelligent buildings,5
groundwater resource,5
estimation method,5
surface water,5
flood control,5
neural network model,5
cellular automata,5
decision-making,5
knowledge acquisition,5
hedging rules,5
pyrolysis,5
assessment method,5
construction industry,5
mean square error,5
surface properties,5
urban growth,5
factor analysis,5
expert system,5
neuro-fuzzy,5
model validation,5
electric utilities,5
geostatistics,5
landforms,5
decision theory,5
rainfall,5
investments,5
gamma test,5
data analytics,5
signal processing,5
fish,5
life cycle,5
robotics,5
data sets,5
adsorption,5
public health,5
biogas,5
human activity,5
solar energy,5
kriging,5
benchmarking,5
data handling,5
soil quality,5
economic and social effects,5
failure analysis,5
ecosystem,5
spatiotemporal analysis,4
environmental factors,4
natural resource,4
conference proceeding,4
waste management,4
groundwater pollution,4
renewable energy,4
fossil fuels,4
digital storage,4
image classification,4
manufacturing process,4
health,4
behavioral research,4
urban area,4
reliability,4
hybrid model,4
disasters,4
back-propagation,4
sustainable management,4
runoff,4
environmental change,4
harvesting,4
rule base,4
irrigation,4
methodology,4
multiple linear regression,4
integrated systems,4
biofuel,4
image analysis,4
conformal mapping,4
intelligent systems,4
fossil fuel,4
semiarid region,4
numerical models,4
location,4
fault detection,4
monitoring,4
developing countries,4
analysis,4
cloud computing,4
sustainability evaluation,4
urban planning,4
logistics,4
solid waste,4
fuzzy inference system,4
fuzzy inductive reasoning,4
lakes,4
sensor networks,4
parameter estimation,4
water levels,4
energy use,4
ecological modeling,4
conservation of natural resources,4
bp neural networks,4
support vector machine,4
risk perception,4
smart city,4
neural networks (nns),4
fisheries,4
surface water resources,4
surface waters,4
energy policy,4
prognosis,4
bp neural network,4
industrial plants,4
competition,4
theoretical model,4
drought,4
rice,4
wind power,4
stochastic models,4
integrated water resources management,4
evolutionary algorithms,4
spatial distribution,4
building energy,4
particle swarm optimization (pso),4
building,4
groundwater flow,4
mobile telecommunication systems,4
mobile phones,4
water resources,4
ethanol,4
cotton,4
genetic programming,4
water resource,4
cost-benefit analysis,4
fuzzy set theory,4
european union,4
power generation,4
soil erosion,4
geographic information system (gis),4
software,4
spain,4
soft computing,4
detection method,4
machine learning methods,4
kurtogram,4
discriminant analysis,4
entropy,4
statistical tests,4
computational intelligence,4
reforestation,4
electric vehicles,4
energy resource,3
multivariate analysis,3
river basin,3
intelligent agents,3
consistency,3
ga,3
objective functions,3
buildings,3
business intelligence,3
methanol,3
built environment,3
intelligent computing,3
solar radiation,3
ph,3
solid state fermentation,3
supply chains,3
endangered species,3
dongting lake,3
greenhouse gases,3
three gorges dam,3
global reporting initiative,3
modis,3
in-situ testing,3
climate models,3
ecosystem management,3
microalga,3
multi-objective optimization,3
parameter optimization,3
chronic disease,3
germany,3
compressive strength,3
computation theory,3
clustering,3
ecological security,3
social media,3
coastal aquifer,3
thermal comfort,3
ecological carrying capacity,3
drought early warning system,3
coastal zone,3
morocco,3
thailand,3
independent variables,3
granger causality,3
early warning system,3
india,3
durability,3
indigenous knowledge weather forecasting systems,3
smart farming,3
implicit stochastic optimization,3
information technology and indigenous knowledge with intelligence (itiki),3
chlorophyll,3
milling (machining),3
condition monitoring,3
car ownership,3
condition assessments,3
concretes,3
sales,3
sustainable production,3
concrete bridges,3
salinity,3
concrete,3
performance evaluation system,3
microzonation,3
emission control,3
multiple linear regressions,3
concentration (process),3
sustainable use,3
self-organizing map,3
oman,3
perception,3
computer circuits,3
generalized regression neural networks,3
pca,3
transfer learning,3
groundwater level,3
sustainable development, neural networks,3
system dynamics,3
electric power transmission,3
chemical analysis,3
sedimentation,3
model,3
particle swarm optimization,3
seasonal climate forecasts,3
commercial species,3
energy security,3
watershed, china,3
kinetics,3
humanoid robot,3
knowledge based systems,3
real time,3
knowledge management system,3
knowledge representation,3
power management,3
raw data,3
artificial intelligence techniques,3
human health,3
random forest,3
water sustainability,3
water table,3
water treatment,3
forecast,3
data processing,3
watershed,3
evaluation,3
recurrent neural network (rnn),3
statistical analysis,3
erosion,3
autoregressive integrated moving average models,3
pollution control,3
water demand management,3
manufacturing industries,3
nitrogen oxides,3
automobile manufacture,3
hurst index,3
auto-regressive integrated moving average,3
malaysia,3
management procedures,3
management practice,3
sustainable agriculture,3
water planning,3
cost effectiveness,3
population dynamics,3
atmospheric pressure,3
lake ecosystem,3
quantitative analysis,3
reinforcement learning,3
sustainability performance,3
heuristics,3
predictions,3
algae,3
wind effects,3
wind energy,3
load carrying capability,3
profitability,3
product-unit,3
product design,3
feedstocks,3
agricultural wastes,3
process optimization,3
agricultural land,3
wireless sensor networks,3
supervised classification,3
probability density function,3
life cycle assessment,3
fault diagnosis,3
sustainability assessment,3
fault classification,3
animals,3
heuristic algorithms,3
precision agriculture,3
heuristic methods,3
quality control,3
quality assurance,3
strategic approach,3
crop residue,3
wavelet transforms,3
land use planning,3
far east,3
animal,3
long short-term memory,3
land use change,3
weather forecasting,3
strategic planning,3
analytic hierarchy process,3
reinforced concrete,3
evaporation,3
correlation,3
bentonite,3
plants (botany),3
renewable energies,3
renewable energy resources,3
deterioration,3
bayesian analysis,3
hydroelectric power,3
controllers,3
resource request,3
functional connectivity,3
reproducibility,3
reproducibility of results,3
habitat quality,3
measurement accuracy,3
mathematical computing,3
physiology,3
research,3
fuzzy clustering,3
control system,3
mean absolute percentage error,3
environmental factor,3
environmental assessment,3
reservoir,3
environmental effect,3
environmental economics,3
bioenergy,3
environmental conditions,3
future prospect,3
functions,3
spectroscopy,3
maximum likelihood,3
reusability,3
